Time;Output 1;Output 2;Output 3;Output 4
15:48:18;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:19;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:21;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:22;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:23;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:24;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:25;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:26;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:27;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:28;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:29;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:30;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:31;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:32;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:33;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:34;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:35;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:36;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:37;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:38;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:39;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:40;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:41;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:42;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:43;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:44;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:46;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:47;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:48;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:49;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:50;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:51;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:52;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:53;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:54;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:55;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:56;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:57;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:58;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:48:59;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:49:00;HIGHACTIVE;LOWACTIVE;HIGHACTIVE;LOWACTIVE
15:49:01;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:02;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:03;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:04;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:05;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:06;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:07;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:08;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:09;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:11;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:12;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:13;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:14;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:15;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:16;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:17;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:18;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:19;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:20;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:21;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:22;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:23;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:24;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:25;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:26;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:27;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:28;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:29;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:30;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:31;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:32;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:33;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:34;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:36;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:37;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:38;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:39;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:40;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:41;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:42;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:43;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:44;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:45;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:46;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:47;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:48;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:49;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:50;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:51;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:52;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:53;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:54;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:55;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:56;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:57;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:58;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:49:59;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:50:01;LOWACTIVE;LOWACTIVE;LOWACTIVE;LOWACTIVE
15:50:02;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:50:03;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
